Count_nuclei,FileName_images,ImageNumber
7747.0,"B10_-1_1_1_Stitched[DAPI 377,447]_001.tif",1
1227.0,"B11_-1_1_1_Stitched[DAPI 377,447]_001.tif",2
12384.0,"B2_-1_1_1_Stitched[DAPI 377,447]_001.tif",3
12529.0,"B3_-1_1_1_Stitched[DAPI 377,447]_001.tif",4
12397.0,"B4_-1_1_1_Stitched[DAPI 377,447]_001.tif",5
12791.0,"B5_-1_1_1_Stitched[DAPI 377,447]_001.tif",6
12626.0,"B6_-1_1_1_Stitched[DAPI 377,447]_001.tif",7
12736.0,"B7_-1_1_1_Stitched[DAPI 377,447]_001.tif",8
12887.0,"B8_-1_1_1_Stitched[DAPI 377,447]_001.tif",9
11999.0,"B9_-1_1_1_Stitched[DAPI 377,447]_001.tif",10
973.0,"C10_-1_1_1_Stitched[DAPI 377,447]_001.tif",11
807.0,"C11_-1_1_1_Stitched[DAPI 377,447]_001.tif",12
12231.0,"C2_-1_1_1_Stitched[DAPI 377,447]_001.tif",13
12587.0,"C3_-1_1_1_Stitched[DAPI 377,447]_001.tif",14
12537.0,"C4_-1_1_1_Stitched[DAPI 377,447]_001.tif",15
11132.0,"C5_-1_1_1_Stitched[DAPI 377,447]_001.tif",16
6498.0,"C6_-1_1_1_Stitched[DAPI 377,447]_001.tif",17
1131.0,"C7_-1_1_1_Stitched[DAPI 377,447]_001.tif",18
785.0,"C8_-1_1_1_Stitched[DAPI 377,447]_001.tif",19
811.0,"C9_-1_1_1_Stitched[DAPI 377,447]_001.tif",20
940.0,"D10_-1_1_1_Stitched[DAPI 377,447]_001.tif",21
848.0,"D11_-1_1_1_Stitched[DAPI 377,447]_001.tif",22
12835.0,"D2_-1_1_1_Stitched[DAPI 377,447]_001.tif",23
12067.0,"D3_-1_1_1_Stitched[DAPI 377,447]_001.tif",24
12309.0,"D4_-1_1_1_Stitched[DAPI 377,447]_001.tif",25
11640.0,"D5_-1_1_1_Stitched[DAPI 377,447]_001.tif",26
3421.0,"D6_-1_1_1_Stitched[DAPI 377,447]_001.tif",27
941.0,"D7_-1_1_1_Stitched[DAPI 377,447]_001.tif",28
987.0,"D8_-1_1_1_Stitched[DAPI 377,447]_001.tif",29
943.0,"D9_-1_1_1_Stitched[DAPI 377,447]_001.tif",30
936.0,"E10_-1_1_1_Stitched[DAPI 377,447]_001.tif",31
621.0,"E11_-1_1_1_Stitched[DAPI 377,447]_001.tif",32
12422.0,"E2_-1_1_1_Stitched[DAPI 377,447]_001.tif",33
12410.0,"E3_-1_1_1_Stitched[DAPI 377,447]_001.tif",34
